Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
Franklin India Technology Fund - Growth,Regular,Sectoral/Thematic,1,1937.75,-0.0118,-0.0967,-0.1626,-0.1147,-0.1604,-0.0673,0.0022,0.1515,0.106,0.15,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.057640359,-105.261315,85.05,0.097178737,83.06,23.91879965,60.00051986,79,377
SBI Consumption Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2930.06,-0.0291,-0.0199,-0.0694,-0.1085,-0.0676,0.0121,0.0301,0.1203,0.1481,0.1478,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.043025512,-139.1709186,79.93,0.065720712,88.54,18.41129744,57.90551898,80,400
SBI Technology Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,5055.86,-0.0162,-0.1279,-0.193,-0.1234,-0.1791,-0.0775,0.018,0.0945,0.1262,0.1536,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.065536354,-92.73478992,86.95,0.09348809,83.7,13.85701677,56.73780671,81,410
Tata Ethical Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,3,3761.86,-0.0306,-0.0501,-0.0706,-0.0523,-0.0695,0.0354,0.0055,0.094,0.106,0.116,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.039579157,-150.7005317,78.19,0.0483112,91.58,13.76875552,56.43850221,82,414
ICICI Prudential Technology Fund - Growth,Regular,Sectoral/Thematic,3,15439.46,-0.0147,-0.1354,-0.1875,-0.1197,-0.1815,-0.0993,-0.0163,0.0809,0.102,0.156,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.063305179,-96.34756765,86.4,0.101782135,82.25,11.45631068,55.17752427,83,444
SBI MNC Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,2,5602.35,-0.0257,-0.0004,-0.0126,-0.0018,0.0004,0.0618,0.0265,0.0812,0.0931,0.1114,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.030211151,-196.5565605,71.26,0.032470371,94.35,11.50926743,54.28670697,84,487
Tata Digital India Fund - Growth,Regular,Sectoral/Thematic,-,11998.88,-0.019,-0.1497,-0.2045,-0.1456,-0.1941,-0.1504,-0.0485,0.0692,0.0941,0.1452,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.06613802,-92.99341008,86.91,0.119683403,79.13,9.390997352,53.56839894,85,525
Aditya Birla Sun Life Digital India Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,4,4722.93,-0.0169,-0.1492,-0.2078,-0.14,-0.1911,-0.1243,-0.0579,0.0604,0.087,0.1541,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.067340491,-90.94528345,87.22,0.112827714,80.33,7.837599294,53.40003972,86,532
ICICI Prudential FMCG Fund - Growth,Regular,Sectoral/Thematic,-,1774.8,-0.0403,-0.0157,-0.0914,-0.1252,-0.0916,-0.0275,-0.0209,0.0322,0.0931,0.1105,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.043531387,-138.4633111,80.04,0.063411371,88.95,2.859664607,51.84086584,87,587
UTI Quant Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1804.48,-0.0236,-0.0414,-0.0715,-0.0423,-0.0631,0.0758,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.053481788,-110.7704174,84.22,,,,,,
